ImageId,EncodedPixels
5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7,30398 1 56451 1 161718 4 162231 5 162746 4 163260 4 172289 8 172797 16 173307 20 173818 22 174329 24 174840 26 175351 28 175862 29 176033 8 176373 31 176544 13 176885 31 177056 14 177396 33 177567 15 177908 33 178079 15 178420 33 178591 15 178932 33 179103 15 179444 33 179615 15 179956 33 180127 16 180468 33 180639 16 180980 33 181151 16 181492 33 181663 16 182005 31 182175 16 182517 31 182688 15 183030 30 183200 15 183543 28 183713 14 184055 28 184226 13 184568 26 184739 11 185081 24 185252 9 185595 22 185766 7 186108 19 186621 17 187135 11
5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7,137274 4 137776 20 138280 35 138790 41 139300 45 139810 49 140321 52 140832 54 141343 56 141854 58 142364 61 142875 63 143386 64 143897 66 144407 68 144919 69 145431 69 145943 69 146455 69 146967 69 147479 69 147991 69 148503 70 149015 70 149527 69 150039 69 150551 69 151063 69 151575 69 152087 69 152601 67 153113 67 153625 67 154137 67 154650 65 155162 65 155674 65 156187 63 156699 63 157211 62 157724 61 158236 60 158748 60 159260 60 159772 59 160285 58 160797 57 161310 56 161822 56 162335 54 162847 54 163360 52 163872 52 164385 50 164897 49 165410 48 165923 46 166436 44 166949 42 167462 41 167974 40 168488 37 169002 34 169516 31 170030 28 170544 25 171060 19
5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7,198236 10 198746 30 199256 36 199767 39 200278 42 200790 43 201302 43 201813 45 202325 45 202836 47 203348 48 203860 48 204372 49 204884 49 205396 49 205908 49 206420 50 206932 50 207444 50 207956 50 208468 51 208980 51 209492 51 210004 51 210516 51 211028 51 211540 51 212052 51 212564 51 213076 51 213588 51 214100 51 214612 51 215124 51 215636 51 216148 51 216661 50 217174 48 217686 48 218199 47 218711 47 219224 46 219737 44 220249 44 220763 41 221276 40 221789 38 222303 36 222816 34 223329 32 223842 31 224355 28 224869 25 225382 21 225896 14
5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7,17329 17 17837 22 18346 26 18856 29 19367 31 19878 33 20390 33 20900 35 21411 37 21923 37 22435 37 22946 38 23459 37 23971 37 24483 38 24995 37 25507 37 26019 37 26531 37 27043 37 27555 37 28067 37 28579 36 29091 36 29604 34 30116 34 30628 33 31141 31 31653 30 32165 30 32678 28 33190 27 33703 25 34215 24 34728 23 35240 22 35753 20 36265 19 36778 16 37291 14 37804 11 38318 7
5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7,29889 3 30399 8 30910 11 31421 14 31933 15 32444 18 32956 20 33468 22 33979 24 34491 25 35003 26 35515 27 36027 28 36538 30 37051 30 37563 31 38075 32 38587 32 39099 32 39611 33 40123 33 40636 32 41148 33 41660 33 42173 32 42685 32 43197 32 43710 31 44222 31 44734 31 45247 31 45759 31 46272 30 46784 29 47297 28 47810 27 48323 26 48835 26 49348 25 49861 23 50374 22 50888 20 51401 18 51915 16 52429 13 52945 7
5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7,168578 1 169084 11 169593 15 170104 17 170615 19 171127 19 171638 21 172150 22 172661 23 173172 25 173684 25 174195 26 174707 26 175219 27 175730 28 176242 28 176754 28 177266 28 177778 28 178290 28 178802 28 179314 28 179826 28 180338 28 180850 28 181362 28 181874 28 182386 27 182898 27 183410 27 183923 26 184435 26 184947 25 185460 24 185973 22 186485 22 186998 20 187511 17 188024 15 188537 12 189051 7
5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7,133561 6 134070 12 134580 15 135091 17 135602 19 136113 21 136624 23 137136 23 137647 25 138159 25 138670 26 139182 27 139694 27 140206 27 140718 27 141230 27 141742 27 142254 27 142767 26 143279 25 143791 25 144304 23 144816 21 145329 19 145842 16 146355 12 146869 7
5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7,161715 3 162225 6 162735 11 163245 15 163756 23 164268 27 164779 33 165290 35 165802 36 166314 36 166826 36 167338 37 167850 38 168362 38 168874 38 169386 39 169898 39 170410 39 170922 39 171434 39 171946 39 172459 38 172971 38 173484 37 173997 36 174510 35 175022 34 175535 32 176049 30 176562 28 177075 27 177588 25 178101 23 178615 20 179128 18 179641 14 180156 9
5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7,258447 3 258956 8 259453 8 259462 16 259964 28 260475 30 260986 32 261497 34 262008 36 262519 38 263030 39 263542 40 264053 41 264565 41 265077 41 265589 41 266100 42 266612 42 267124 42 267636 42 268148 42 268660 42 269172 42 269683 43 270195 43 270707 43 271219 43 271731 43 272243 43 272755 42 273267 41 273779 41 274291 40 274804 37 275316 35 275828 32 276341 28 276854 19 277367 12
5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7,46704 3 47215 7 47726 10 48238 12 48750 14 49262 15 49774 17 50286 18 50798 19 51310 19 51823 19 52335 20 52847 20 53360 20 53872 20 54385 19 54898 18 55410 18 55923 17 56436 15 56949 14 57462 13 57975 11 58488 9 59003 4
